Sl. No,Theme,Action,Brief Description of Activity,
158,Waste Reduced (Swachhata Actions),Practice segregation of dry and wet waste at homes,"Awareness program (Workshop Cum Quiz) on the Theme “Waste Management, Water Conversation and Energy Conservation”",
159,Waste Reduced (Swachhata Actions),Practice segregation of dry and wet waste at homes,"Awareness program (Workshop Cum Quiz) on the Theme “Waste Management, Water Conversation and Energy Conservation”",
160,Waste Reduced (Swachhata Actions),Practice segregation of dry and wet waste at homes,"Awareness program (Workshop Cum Quiz) on the Theme “Waste Management, Water Conversation and Energy Conservation”",
161,Waste Reduced (Swachhata Actions),Practice segregation of dry and wet waste at homes,"Workshop cum Quiz on “Waste Management, Water Conservation and Energy Conservation” conducted at Paradip Refinery Township, Odisha",
162,Waste Reduced (Swachhata Actions),Practice segregation of dry and wet waste at homes,"Workshop cum Quiz on “Waste Management, Water Conservation and Energy Conservation” conducted at Paradip Refinery Township, Odisha",
163,Waste Reduced (Swachhata Actions),Practice segregation of dry and wet waste at homes,"Workshop cum Quiz on “Waste Management, Water Conservation and Energy Conservation” conducted at Paradip Refinery Township, Odisha",
164,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,50 No. of Tree plantation was done by IOCL Rewari Terminal Marketing Division at Government school Karnawas open vaccant area.,
165,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,50 No. of Tree plantation was done by IOCL Rewari Terminal Marketing Division at Government school Karnawas open vaccant area.,
166,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,Distribution of Jute bags to village people by IOCL Rewari Terminal Haryana,
167,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,Distribution of Jute bags to village people by IOCL Rewari Terminal Haryana,
168,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,Distribution of Jute bags to village people by IOCL Rewari Terminal Haryana,
169,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,Distribution of Jute bags to village people by IOCL Rewari Terminal Haryana,
170,Energy Saved,Use LED bulbs/ tube-lights,Distribution of LED bulbs to village people by IOCL Rewari Terminal,
171,Energy Saved,Use LED bulbs/ tube-lights,Distribution of LED bulbs to village people by IOCL Rewari Terminal,
172,Water Saved,Adopt cultivation of less water intensive crops like millets,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 28th March, 2023 #ChooseLiFE #ProPlanetPeople",
173,Energy Saved,Use LED bulbs/ tube-lights,Awareness meeting on use of LED bulb/ tube lights,
174,Energy Saved,Prefer CNG/ EV vehicle over petrol/ diesel vehicles,Awareness on alternate Fuels CNG/EV,
175,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
176,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
177,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
178,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
179,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
180,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
181,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
182,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
183,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
184,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
185,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
186,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,BPCL displayed LiFE logo and creatives at Retail Outlets of Southern Region during month of January 2023.,
187,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,BPCL displayed LiFE logo and creatives at Retail Outlets of Southern Region during month of January 2023.,
188,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,BPCL displayed LiFE logo and creatives at Retail Outlets of Southern Region during month of January 2023.,
189,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,BPCL displayed LiFE logo and creatives at Retail Outlets of Southern Region during month of January 2023.,
190,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,BPCL displayed LiFE logo and creatives at Retail Outlets of Southern Region during month of January 2023.,
191,Energy Saved,Switch off vehicle engines at red lights and railway crossings,BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of January 2023.,
192,Energy Saved,Switch off vehicle engines at red lights and railway crossings,BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of January 2023.,
193,Energy Saved,Switch off vehicle engines at red lights and railway crossings,BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of January 2023.,
194,Energy Saved,Switch off vehicle engines at red lights and railway crossings,BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of January 2023.,
195,Energy Saved,Switch off vehicle engines at red lights and railway crossings,BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of January 2023.,
196,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of February 2023.,
197,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of February 2023.,
198,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of February 2023.,
199,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of February 2023.,
200,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of February 2023.,
201,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of February 2023.,
202,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of February 2023.,
203,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of February 2023.,
204,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of February 2023.,
205,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of February 2023.,
206,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of February 2023.,
207,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units",BPCL displayed LiFE logo and creatives at Retail Outlets of Southern Region during month of February 2023.,
208,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units",BPCL displayed LiFE logo and creatives at Retail Outlets of Southern Region during month of February 2023.,
209,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units",BPCL displayed LiFE logo and creatives at Retail Outlets of Southern Region during month of February 2023.,
210,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units",BPCL displayed LiFE logo and creatives at Retail Outlets of Southern Region during month of February 2023.,
211,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of February 2023.,
212,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of February 2023.,
213,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of February 2023.,
214,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of February 2023.,
215,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of February 2023.,
216,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of February 2023.,
217,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,BPCL organized Awareness programs about stress management & wellness.,
218,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,BPCL organized Awareness programs about stress management & wellness.,
219,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,BPCL organized Awareness programs about stress management & wellness.,
220,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,BPCL organized Awareness programs about stress management & wellness.,
221,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,BPCL organized Awareness programs about stress management & wellness.,
222,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,BPCL organized Awareness programs about stress management & wellness.,
223,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being,BPCL organized Awareness programs about stress management & wellness.,
224,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL disposes Plastic Waste through Extended Producer Responsibility as a Brand Owner.,
225,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL disposes Plastic Waste through Extended Producer Responsibility as a Brand Owner.,
226,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL disposes Plastic Waste through Extended Producer Responsibility as a Brand Owner.,
227,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL disposes Plastic Waste through Extended Producer Responsibility as a Brand Owner.,
228,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible",BPCL disposes Plastic Waste through Extended Producer Responsibility as a Brand Owner.,
229,Energy Saved,Prefer CNG/ EV vehicle over petrol/ diesel vehicles,BPCL is Selling High Performance domestic LPG cooking stove with thermal efficiency of 74%.,
230,Energy Saved,Prefer CNG/ EV vehicle over petrol/ diesel vehicles,BPCL is Selling High Performance domestic LPG cooking stove with thermal efficiency of 74%.,
231,Energy Saved,Prefer CNG/ EV vehicle over petrol/ diesel vehicles,BPCL is Selling High Performance domestic LPG cooking stove with thermal efficiency of 74%.,
232,Energy Saved,Prefer CNG/ EV vehicle over petrol/ diesel vehicles,BPCL is Selling High Performance domestic LPG cooking stove with thermal efficiency of 74%.,
233,Energy Saved,Use LED bulbs/ tube-lights,BPCL promotes Mission LiFE through Social Media.,
234,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others)",BPCL promotes Mission LiFE through Social Media,
235,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
236,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
237,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
238,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
239,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
240,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
241,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
242,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
243,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
244,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
245,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
246,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
247,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
248,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
249,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
250,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
251,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
252,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
253,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
254,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
255,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
256,Energy Saved,Use LED bulbs/ tube-lights,IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.,
257,Water Saved,"Fix leaks in flushes, taps and waterpipes",IOCL- DIGBOI REFINERY has completed the activity of “ Display of LiFE standee on Save Water ” at 13 different locations of Digboi Refinery installations and township- Total 10 standee has been displayed.,
258,Water Saved,"Fix leaks in flushes, taps and waterpipes",IOCL- DIGBOI REFINERY has completed the activity of “ Display of LiFE standee on Save Water ” at 13 different locations of Digboi Refinery installations and township- Total 10 standee has been displayed.,
259,Water Saved,"Fix leaks in flushes, taps and waterpipes",IOCL- DIGBOI REFINERY has completed the activity of “ Display of LiFE standee on Save Water ” at 13 different locations of Digboi Refinery installations and township- Total 10 standee has been displayed.,
260,Water Saved,"Fix leaks in flushes, taps and waterpipes",IOCL- DIGBOI REFINERY has completed the activity of “ Display of LiFE standee on Save Water ” at 13 different locations of Digboi Refinery installations and township- Total 10 standee has been displayed.,
261,Water Saved,"Fix leaks in flushes, taps and waterpipes",IOCL- DIGBOI REFINERY has completed the activity of “ Display of LiFE standee on Save Water ” at 13 different locations of Digboi Refinery installations and township- Total 10 standee has been displayed.,
262,Water Saved,"Fix leaks in flushes, taps and waterpipes",IOCL- DIGBOI REFINERY has completed the activity of “ Display of LiFE standee on Save Water ” at 13 different locations of Digboi Refinery installations and township- Total 10 standee has been displayed.,
263,Water Saved,"Fix leaks in flushes, taps and waterpipes",IOCL- DIGBOI REFINERY has completed the activity of “ Display of LiFE standee on Save Water ” at 13 different locations of Digboi Refinery installations and township- Total 10 standee has been displayed.,
264,Water Saved,"Fix leaks in flushes, taps and waterpipes",IOCL- DIGBOI REFINERY has completed the activity of “ Display of LiFE standee on Save Water ” at 13 different locations of Digboi Refinery installations and township- Total 10 standee has been displayed.,
265,Water Saved,"Fix leaks in flushes, taps and waterpipes",IOCL- DIGBOI REFINERY has completed the activity of “ Display of LiFE standee on Save Water ” at 13 different locations of Digboi Refinery installations and township- Total 10 standee has been displayed.,
266,Energy Saved,Use public transport wherever possible,"IOCL- DIGBOI REFINERY has completed the activity of"" Display of LiFE logo and creatives on the themes of “Save Energy“ and “Conserve Water” of Mission LiFE"" by putting up 5 Numbers of banners at various locations around Digboi Refinery",
267,Energy Saved,Use public transport wherever possible,"IOCL- DIGBOI REFINERY has completed the activity of"" Display of LiFE logo and creatives on the themes of “Save Energy“ and “Conserve Water” of Mission LiFE"" by putting up 5 Numbers of banners at various locations around Digboi Refinery",
268,Energy Saved,Use public transport wherever possible,"IOCL- DIGBOI REFINERY has completed the activity of"" Display of LiFE logo and creatives on the themes of “Save Energy“ and “Conserve Water” of Mission LiFE"" by putting up 5 Numbers of banners at various locations around Digboi Refinery",
269,Energy Saved,Use public transport wherever possible,"IOCL- DIGBOI REFINERY has completed the activity of"" Display of LiFE logo and creatives on the themes of “Save Energy“ and “Conserve Water” of Mission LiFE"" by putting up 5 Numbers of banners at various locations around Digboi Refinery",
270,Energy Saved,Use public transport wherever possible,"IOCL- DIGBOI REFINERY has completed the activity of"" Display of LiFE logo and creatives on the themes of “Save Energy“ and “Conserve Water” of Mission LiFE"" by putting up 5 Numbers of banners at various locations around Digboi Refinery",
271,Energy Saved,Use LED bulbs/ tube-lights,IOCL -DIGBOI REFINERY has completed the activity of Distribution of Monthly safety day gift to contract workers inside refinery with #chooseLIFE logo and creatives on the themes of “Save Energy“ and “Conserve Water” to promote the message of Mission LiFE for Awareness.,
272,Energy Saved,Use LED bulbs/ tube-lights,IOCL -DIGBOI REFINERY has completed the activity of Distribution of Monthly safety day gift to contract workers inside refinery with #chooseLIFE logo and creatives on the themes of “Save Energy“ and “Conserve Water” to promote the message of Mission LiFE for Awareness.,
273,Energy Saved,Use LED bulbs/ tube-lights,IOCL -DIGBOI REFINERY has completed the activity of Distribution of Monthly safety day gift to contract workers inside refinery with #chooseLIFE logo and creatives on the themes of “Save Energy“ and “Conserve Water” to promote the message of Mission LiFE for Awareness.,
274,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
275,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
276,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
277,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
278,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
279,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
280,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
281,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
282,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
283,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
284,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
285,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
286,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
287,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
288,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
289,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
290,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
291,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
292,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
293,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
294,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
295,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
296,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
297,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
298,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various Mission LiFE events around its operating locations,
299,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
300,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
301,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
302,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
303,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
304,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
305,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
306,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
307,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
308,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
309,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
310,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
311,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
312,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
313,Water Saved,Adopt cultivation of less water intensive crops like millets,BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of January 2023.,
314,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
315,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
316,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
317,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
318,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
319,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
320,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
321,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
322,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
323,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
324,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
325,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
326,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
327,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
328,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
329,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office,BPCL organized various awareness sessions for its stakeholders.,
330,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
331,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
332,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
333,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
334,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
335,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
336,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
337,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
